clause_key,verdict,reviewer,reason
2022나54118,기각,fable5,조항 유·무효 판단 부재
2022나54118,기각,fable5,조항 유·무효 판단 부재
2023나2008073,기각,fable5,B2B 계약 + 조항 유·무효 판단 부재
2025다210104,기각,fable5,판결 이유 서술이 섞인 추출 + 조항 유·무효 판단 부재
2025다210104,기각,fable5,조항 유·무효 판단 부재 + 조항 문언이 아닌 구절 단편
2023나20705,기각,fable5,조항 문언이 아님 (확인서 문구) + 판단 부재
2023나20705,기각,fable5,판결 이유 서술이 섞인 추출 + 판단 부재
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023나20705,기각,fable5,조항 유·무효 판단 부재 + 제3자 간 계약
2023나20705,기각,fable5,조항 유·무효 판단 부재
2023나20705,기각,fable5,조항 유·무효 판단 부재
2025노672,기각,fable5,형사 사건 노이즈
2023두34644,기각,fable5,조세 사건 노이즈 + 판결 이유 서술 혼입
2024누38461,기각,fable5,조세 사건 노이즈 + 법령 인용 오추출
2024누38461,기각,fable5,조세 사건 노이즈 + 법령 인용 오추출
2023두47473,기각,fable5,조세 사건 노이즈 + 판결 이유 서술 단편
2024다215375,자동기각,fable5,기존 골든셋과 중복
2024다215375,자동기각,fable5,기존 골든셋과 중복
2024다215375,기각,fable5,조항 문언이 아님 (판결 이유 서술 파편)
2024다215375,기각,fable5,축자 원문 부재 (조항 파편)
2024다215375,자동기각,fable5,기존 골든셋과 중복
2024다215375,기각,fable5,조항 문언이 아님 (위험고지서 문구)
2024다215375,기각,fable5,조항 유·무효 판단 부재 + 판결 이유 서술 혼입
2024다215375,기각,fable5,조항 유·무효 판단 부재 + 판결 이유 서술 혼입
2024누56490,기각,fable5,조세 사건 노이즈 + 조항 유·무효 판단 부재
2024나2023710,기각,fable5,B2B 계약 + 조항 유·무효 판단 부재
2024나2023710,기각,fable5,B2B 계약 + 조항 유·무효 판단 부재
2024나2023710,기각,fable5,판결 이유 서술이 섞인 추출 + 판단 부재
2024나2028036,기각,fable5,B2B 계약 + 조항 유·무효 판단 부재
2024나2028036,기각,fable5,B2B 계약 + 조항 유·무효 판단 부재
2022누21856,기각,fable5,법령 인용 오추출 + 조세 사건 노이즈
2021두63044,기각,fable5,조세 사건 노이즈 + 조항 문언이 아님
2024가단5029447,기각,fable5,조항 문언이 아님 (판결 이유 서술 오추출)
2022누56601,기각,fable5,계약 조항과 무관한 사건 노이즈 (노동 행정소송)
2022누54360,기각,fable5,법령·고시 인용 오추출
2020구합89964,기각,fable5,조세 사건 노이즈
2021가단5295915,기각,fable5,축자 원문 부재 + 소비자 계약 아님
2019누38108,기각,fable5,조항 문언이 아님 (사실관계 서술)
2019고단7006,기각,fable5,형사 사건 노이즈
2016다276177,기각,fable5,법령 인용 오추출 + 조항 유·무효 판단 부재
2016다276177,기각,fable5,조항 문언이 아님 (판결 이유 서술)
2025다211789,기각,fable5,조항 유·무효 판단 부재
2025다211789,기각,fable5,조항 유·무효 판단 부재
2025나8154,기각,fable5,조항 유·무효 판단 부재
2025나8154,기각,fable5,조항 문언이 아님 (판결 이유 서술 혼입)
2024도11951,기각,fable5,절단 추출 + 형사 사건 (판단 부재)
2024도11951,기각,fable5,조항 유·무효 판단 부재 (형사 사건)
2024도11951,기각,fable5,조항 유·무효 판단 부재 (형사 사건)
2024다312559,기각,fable5,쟁점 조항 오추출 + 판단 부재
2024다301832,기각,fable5,축자 원문 부재 + 판단 부재
2023다244871,기각,fable5,절단 추출 + 조항 유·무효 판단 부재
2023나65275,기각,fable5,조항 문언이 아님 (판결 이유 서술 오추출)
2023나65275,기각,fable5,조항 유·무효 판단 부재
2025다200233,기각,fable5,조항 유·무효 판단 부재 (파기환송)
2024다297643,기각,fable5,판결 이유 서술 혼입 절단 추출 + 판단 부재
2024다313941,기각,fable5,조항 유·무효 판단 부재
2022다214750,기각,fable5,조항 유·무효 판단 부재
2022다214750,기각,fable5,동일 조항 배치 내 중복 + 판단 부재
2024나65647,기각,fable5,절단 추출 (파기된 원심)
2024나65647,기각,fable5,조항 유·무효 판단 부재 (파기된 원심)
2024나65647,기각,fable5,조항 유·무효 판단 부재 (파기된 원심)
2024나65647,기각,fable5,위험 라벨 오추론 + 판단 부재
2024나65647,기각,fable5,판결 이유 서술이 섞인 추출 (파기된 원심)
2024나44829,기각,fable5,축자 원문 불일치 + 판단 부재
2024나44829,기각,fable5,조항 문언이 아님 (판결 이유 서술 오추출)
9319,기각,fable5,축자 원문 부재
9795,기각,fable5,축자 원문 부재
1161,기각,fable5,축자 원문 부재
1161,기각,fable5,축자 원문 부재
10525,기각,fable5,축자 원문 부재
9943,기각,fable5,축자 원문 부재
10765,기각,fable5,B2B 계약 (소비자 계약 아님)
10765,기각,fable5,B2B 계약 (소비자 계약 아님)
10765,기각,fable5,B2B 계약 (소비자 계약 아님)
10765,기각,fable5,스윕 내 중복
1215,자동기각,fable5,기존 골든셋과 중복
10545,기각,fable5,축자 원문 부재
9771,기각,fable5,축자 원문 부재
9771,기각,fable5,축자 원문 부재
9771,기각,fable5,스윕 내 중복
10715,기각,fable5,B2B 계약 (소비자 계약 아님)
1255,자동기각,fable5,기존 골든셋과 중복
10781,기각,fable5,축자 원문 부재
10781,기각,fable5,스윕 내 중복
1113,기각,fable5,축자 원문 부재
1113,기각,fable5,축자 원문 부재
1227,자동기각,fable5,기존 골든셋과 중복
11053,자동기각,fable5,기존 골든셋과 중복
9747,기각,fable5,축자 원문 부재
9747,기각,fable5,축자 원문 부재
16427,기각,fable5,B2B 계약 (소비자 계약 아님)
1073,기각,fable5,기존 골든셋과 중복
1075,기각,fable5,기존 골든셋과 중복
1147,기각,fable5,기존 골든셋과 중복
1127,기각,fable5,기존 골든셋과 중복
1083,기각,fable5,기존 골든셋과 중복
1087,기각,fable5,기존 골든셋과 중복
1091,기각,fable5,기존 골든셋과 중복
1101,기각,fable5,기존 골든셋과 중복
1089,기각,fable5,기존 골든셋과 중복
1095,기각,fable5,기존 골든셋과 중복
1099,기각,fable5,기존 골든셋과 중복
1085,기각,fable5,기존 골든셋과 중복
1103,기각,fable5,기존 골든셋과 중복
1093,기각,fable5,기존 골든셋과 중복
1097,자동기각,fable5,기존 골든셋과 중복
12819,기각,fable5,축자 원문 부재
12819,기각,fable5,축자 원문 부재
12819,기각,fable5,축자 원문 부재
12819,기각,fable5,축자 원문 부재
12819,기각,fable5,축자 원문 부재
8645,기각,fable5,축자 원문 부재
8645,기각,fable5,축자 원문 부재
8645,기각,fable5,축자 원문 부재
8645,기각,fable5,축자 원문 부재
8645,기각,fable5,스윕 내 중복
9731,기각,fable5,축자 원문 부재
1117,기각,fable5,축자 원문 부재
1183,자동기각,fable5,기존 골든셋과 중복
10661,기각,fable5,축자 원문 부재
8783,기각,fable5,축자 원문 부재
1179,기각,fable5,B2B 계약 (소비자 계약 아님)
9473,기각,fable5,축자 원문 부재
9473,기각,fable5,축자 원문 부재
9473,기각,fable5,스윕 내 중복
1203,기각,fable5,B2B 계약 (소비자 계약 아님)
1203,기각,fable5,스윕 내 중복
977,기각,fable5,축자 원문 부재
977,기각,fable5,스윕 내 중복
993,기각,fable5,축자 원문 부재
1131,기각,fable5,축자 원문 부재
10077,기각,fable5,축자 원문 부재
10077,기각,fable5,축자 원문 부재
10077,기각,fable5,스윕 내 중복
1157,자동기각,fable5,기존 골든셋과 중복
1157,자동기각,fable5,기존 골든셋과 중복
1155,기각,fable5,축자 원문 부재
1155,기각,fable5,축자 원문 부재
11451,자동기각,fable5,기존 골든셋과 중복
11437,자동기각,fable5,기존 골든셋과 중복
11407,자동기각,fable5,기존 골든셋과 중복
11401,자동기각,fable5,기존 골든셋과 중복
11443,자동기각,fable5,기존 골든셋과 중복
11449,자동기각,fable5,기존 골든셋과 중복
11447,자동기각,fable5,기존 골든셋과 중복
11359,자동기각,fable5,기존 골든셋과 중복
11453,자동기각,fable5,기존 골든셋과 중복
11445,자동기각,fable5,기존 골든셋과 중복
11371,자동기각,fable5,기존 골든셋과 중복
1221,자동기각,fable5,기존 골든셋과 중복
1221,자동기각,fable5,기존 골든셋과 중복
10389,자동기각,fable5,기존 골든셋과 중복
10787,자동기각,fable5,기존 골든셋과 중복
1219,기각,fable5,B2B 계약 (소비자 계약 아님)
10823,기각,fable5,축자 원문 부재
10823,기각,fable5,축자 원문 부재
1153,기각,fable5,축자 원문 부재
1153,기각,fable5,축자 원문 부재
8709,기각,fable5,축자 원문 부재
8709,기각,fable5,축자 원문 부재
8709,기각,fable5,축자 원문 부재
8709,기각,fable5,축자 원문 부재
10195,자동기각,fable5,기존 골든셋과 중복
10195,자동기각,fable5,기존 골든셋과 중복
9001,기각,fable5,축자 원문 부재
1261,기각,fable5,축자 원문 부재
1261,기각,fable5,스윕 내 중복
1149,기각,fable5,축자 원문 부재
1149,기각,fable5,축자 원문 부재
10243,자동기각,fable5,기존 골든셋과 중복
11307,기각,fable5,축자 원문 부재
1159,기각,fable5,축자 원문 부재
1159,기각,fable5,축자 원문 부재
1159,기각,fable5,스윕 내 중복
9729,기각,fable5,축자 원문 부재
9767,기각,fable5,축자 원문 부재
1133,기각,fable5,축자 원문 부재
10297,기각,fable5,축자 원문 부재
1197,자동기각,fable5,기존 골든셋과 중복
9659,기각,fable5,B2B 계약 (소비자 계약 아님)
9659,기각,fable5,B2B 계약 (소비자 계약 아님)
9659,기각,fable5,스윕 내 중복
1151,기각,fable5,축자 원문 부재
1165,기각,fable5,축자 원문 부재
1165,기각,fable5,축자 원문 부재
1165,기각,fable5,축자 원문 부재
10825,기각,fable5,B2B 계약 (소비자 계약 아님)
10825,기각,fable5,스윕 내 중복
9499,자동기각,fable5,기존 골든셋과 중복
11043,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
10483,자동기각,fable5,기존 골든셋과 중복
11331,기각,fable5,조항 문언이 아님 (이유 서술 혼입)
10953,기각,fable5,축자 원문 부재
10939,자동기각,fable5,기존 골든셋과 중복
10939,자동기각,fable5,기존 골든셋과 중복
10939,자동기각,fable5,기존 골든셋과 중복
10971,기각,fable5,축자 원문 부재
10971,기각,fable5,축자 원문 부재
10971,기각,fable5,축자 원문 부재
10971,기각,fable5,축자 원문 부재
10971,기각,fable5,축자 원문 부재
10971,기각,fable5,축자 원문 부재
1259,자동기각,fable5,기존 골든셋과 중복
10039,기각,fable5,축자 원문 부재
10957,기각,fable5,축자 원문 부재
1201,자동기각,fable5,기존 골든셋과 중복
10465,기각,fable5,축자 원문 부재
9801,기각,fable5,축자 원문 부재
9801,기각,fable5,축자 원문 부재
9801,기각,fable5,축자 원문 부재
9801,기각,fable5,축자 원문 부재
9801,기각,fable5,축자 원문 부재
9801,기각,fable5,축자 원문 부재
9801,기각,fable5,축자 원문 부재
10801,기각,fable5,축자 원문 부재
1207,기각,fable5,B2B 계약 (소비자 계약 아님)
1207,기각,fable5,B2B 계약 (소비자 계약 아님)
1207,기각,fable5,B2B 계약 (소비자 계약 아님)
12825,기각,fable5,축자 원문 부재
10485,자동기각,fable5,기존 골든셋과 중복
10485,자동기각,fable5,기존 골든셋과 중복
10485,자동기각,fable5,기존 골든셋과 중복
1137,기각,fable5,축자 원문 부재
1137,기각,fable5,축자 원문 부재
1241,기각,fable5,B2B 계약 (소비자 계약 아님)
10835,기각,fable5,축자 원문 부재
10835,기각,fable5,축자 원문 부재
1223,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9677,자동기각,fable5,기존 골든셋과 중복
9383,기각,fable5,B2B 계약 (소비자 계약 아님)
9383,기각,fable5,B2B 계약 (소비자 계약 아님)
9933,기각,fable5,축자 원문 부재
8529,기각,fable5,축자 원문 부재
10201,자동기각,fable5,기존 골든셋과 중복
949,자동기각,fable5,기존 골든셋과 중복
949,자동기각,fable5,기존 골든셋과 중복
1177,기각,fable5,축자 원문 부재
1177,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10413,기각,fable5,축자 원문 부재
10373,기각,fable5,조항 문언이 아님 (기관의 설명·요약)
10373,기각,fable5,축자 원문 부재
9963,자동기각,fable5,기존 골든셋과 중복
9647,기각,fable5,축자 원문 부재
10375,기각,fable5,축자 원문 부재
10375,기각,fable5,축자 원문 부재
10375,기각,fable5,축자 원문 부재
10375,기각,fable5,축자 원문 부재
10977,기각,fable5,B2B 계약 (소비자 계약 아님)
10969,기각,fable5,조항 문언이 아님 (기관의 설명·요약)
8745,기각,fable5,축자 원문 부재
8745,기각,fable5,축자 원문 부재
8745,기각,fable5,축자 원문 부재
8745,기각,fable5,축자 원문 부재
8745,기각,fable5,축자 원문 부재
8745,기각,fable5,축자 원문 부재
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
10279,자동기각,fable5,기존 골든셋과 중복
985,수정승인,fable5,
985,기각,fable5,축자 원문 부재
985,기각,fable5,축자 원문 부재
사건보증약관’이라한다)제30조제2항제7호는특약주채무자가,기각,fable5,B2B 보증업무위탁 약관 + 관용구 절단
"건축규모의증감(지하주차장포함),세대별단위면적(공급면적)이증감될수있으며,이에따른조합원분담금의금액조정에관하여원고",자동기각,fable5,sprint3 기등재 동일 조항
"사건사업으로신축될아파트를향후주택사업계획승인이후건축개요가변경이없을경우희망동호수를배정받으며,변경시동호수배정은사업",기각,fable5,확약서 문구 사실인정 인용 + 절단 (기등재 사건 신규)
",기본공급약관시행세칙에따른계산식은적용시점의유효한약관및시행세칙에따라변경되는것으로한다.",기각,fable5,B2B ESS 계약 + 해석 맥락 + 절단
갑상선암등소액암진단확정시보험가입금액의30%를보험금으로지급한다,기각,fable5,판시사항 요약 패러프레이즈 + 유·무효 판단 부재
C73(갑상선의악성신생물)에해당하는질병등을암에서제외한다,기각,fable5,판단 대상은 별개 조항 + 패러프레이즈
매월공지되는단가표및정책표에근거하여기준한다,기각,fable5,B2B 위탁판매계약
(InstituteCargoClausesA)등을보험조건으로하는적하보험계약(이하‘이사건적하보험계약’이라한다)을,자동기각,fable5,sprint3 기등재 동일 조항 (B2B 적하보험)
"및피고의영업제규정을살펴보더라도그와같이수수료를‘유지수수료’와‘모집수수료’로구분하여볼만한근거를찾을수없고,그밖에이",기각,fable5,보험설계사 위촉계약 + 판결 이유 혼입
사건약관’이라한다)중이사건에관한주요내용은아래와같다.제3관보험금등의지급(회사의주된의무)제16조(후유장해보험금),기각,fable5,관용구 절단 + 조항 유·무효 판단 부재
"척추(등뼈)의장해는퇴행성기왕증병변과사고가그증상을악화시킨부분만큼,즉이사고와의관여도를산정하여평가한다",기각,fable5,해석 맥락 단순 인용
"및특약의존부와무관하게,원고는사전동의한기간만료후근질권을실행하여피고에게그피담보채권액상당의임대차보증금의반환을구할수",기각,fable5,판결 이유·법령 문언 혼입 오추출
"사건약관’이라한다)에대한동의를받았고,원고가피고△△△자산운용에파생상품거래에따르는위험에관한설명을하고거래설명서또는",기각,fable5,B2B + 절단 혼입
정당화한다고할수없다.한편금융투자업규정제2-32조제2항제1호나목은‘투자자의귀책사유또는금융투자업자에게책임이없는불,기각,fable5,B2B + 법령 문언 오추출
장중에시세의급격한변동등으로인하여고객의평가위탁총액이위탁증거금의20%보다낮은경우,기각,fable5,B2B + 포섭 맥락 인용
"장중에시세의급격한변동등"",""고객의평가위탁총액이위탁증거금의20%보다낮은경우",기각,fable5,B2B + 배치 내 중복 표집
"면위‘장중’은옵션의정규시장및야간시장을의미한다고할것이므로,""장중에시세의급격한변동""은오사카증권거래소의옵션정규시장",기각,fable5,법원 해석 서술 자체를 추출
판매대금을해외에서받는것을원칙으로한다,기각,fable5,형사 사건 노이즈
백서가공개된이후에공소외17회사는판매대금을해외에서받는것이원칙임을확인한다,기각,fable5,형사 노이즈 + B2B
(공소외11회사)은회사(공소외1회사)로하여금코인을발행하여해당코인을글로벌거래소에상장완료되도록하여야한다,기각,fable5,형사 노이즈 + 미체결 계약서 초안
"대한민국또는싱가포르정부의규제,정책적또는법령상제한으로인하여암호화폐의ICO또는상장이어려운경우자동으로계약이해제된다",기각,fable5,형사 노이즈 + B2B 초안
"회사(공소외1회사)는□□□의명칭을차용한암호화화폐를발행하고,ICO를통해해당암호화화폐를□□□가운영하는암호화화폐거",기각,fable5,형사 노이즈 + B2B 초안 진술·보장 조항
"약관및시행세칙"")에따른계산식은적용시점의유효한약관및시행세칙에따라변경되는것으로한다.?항목계산식1.피크저감해당월피",기각,fable5,B2B + 절단·표 계산식 혼입
"공급사는ESS를자신의비용과책임으로설치,유지,관리및보수하기로하며,공급사가설치한ESS의소유권은공급사에게귀속한다",기각,fable5,B2B + 해석 근거 인용
라고한다)을피고와체결하였다.이사건보험계약에적용되는피고의해외사업금융보험약관(이하,기각,fable5,B2B 기관 간 보험 + 관용구 절단
"하여필요한조치를취하고그결과를피고에게알려야하며,이경우보험계약자는그러한조치를취하기전에피고와협의할수있다.이사건약관",기각,fable5,B2B + 해석 서술 혼입
수신된전자문서가작성자또는그대리인의의사에기한것이라고믿을만한정당한이유가있는자에의하여송신된경우,기각,fable5,법령(전자문서법) 문언 오추출
"대리점’은원고를,‘회사’는피고를각의미한다).제1조(목적)①본계약은회사의상품을대리점이위탁판매함에있어필요한회사와",기각,fable5,B2B + 정의 조항 나열 절단
"라고한다)을체결하였고,이후피고조합은추진위원회의권리·의무를승계하였다.이사건각가입계약중이사건과관련된부분은아래와같",기각,fable5,관용구 절단 사실관계 서술 파편
라고한다)을체결하였다.■이사건공급계약○분담금납부금액및일정??(단위:천원)?주택형분담금계약금(계약시)중도금잔금,기각,fable5,체결 경위 서술 + 일정표 파편
위조합원분담금과별도로추가분담금과발코니확장공사비가부과된다는점이명시되어있고이사건각가입계약의체결단계에서는추가분담금,기각,fable5,판결 이유 서술 추출
"해제또는해지로인한환급시을이기납부한금액중행정용역비는환급대상이아니다.또한토지등취득세(조합선납부분포함),신탁등기(",수정승인,fable5,"지역주택조합 가입계약 제10조 제1항 — 약관법·민법 §103·104 무효 및 §398② 감액 주장 전부 배척, 유효 명시 판단"
공사도급(가)계약일반조건’제20조제2항은분양수입금및조합원부담금이입금되는계좌를원고와이사건추진위원회공동명의로개설,기각,fable5,B2B 공사도급 + 해석 맥락
"사건각금전소비대차계약서’라고한다)에대한공정증서.이사건각금전소비대차계약서의피고2,피고3,피고5,피고6,피고8,",기각,fable5,관용구 절단 파편 + B2B
"중이사건소비대차약정을정하고있는‘공사도급(가)계약일반조건’제15조제3항은""대여금의상환을보증하기위하여갑(이사건추",기각,fable5,B2B + 부당성 판단 부재
사건대책위원회는주관사인피고인5회사에수수료를입금한다,기각,fable5,형사(배임수재) 노이즈
"등에서명·날인하게함으로써서명을사취한후이를이용해금전대여자앞으로근저당권설정등기까지마친경우에,피기망자가한행위는근저",기각,fable5,형사(사기) 노이즈 + 이유 서술
유로이사건계약을해지한다는내용의통지(이하,기각,fable5,절단 파편 + B2B 독점판매계약
(사업체명생략)이제6조에서정한구매주문을3년연속달성하지못하는경우피고는계약을해지할수있다,기각,fable5,B2B + 포섭 판단만
수신된전자문서가작성자또는그대리인의의사에기한것이라고믿을만한정당한이유가있는자에의하여송신된경우,기각,fable5,법령(전자문서법) 문언 오추출
"대리점’은원고를,‘회사’는피고를각의미한다).제1조(목적)①본계약은회사의상품을대리점이위탁판매함에있어필요한회사와",기각,fable5,B2B 위탁판매 + 정의 조항 파편
